"ID" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"COL10A1" "COL10A1" -3.90356587236143 8.80167530692629 -13.0696108383653 2.72960729447199e-20 5.60333785409211e-16 35.6431845501145
"EFNA4" "EFNA4" -1.57126145725059 7.4698515880666 -12.6700699630355 1.24108730163179e-19 1.27385200639487e-15 34.1784440402073
"SPOCK2" "SPOCK2" 2.17995772347296 9.06397725212851 12.5190676739011 2.21119424350194e-19 1.5130465143536e-15 33.6192942938491
"STX11" "STX11" 2.6741993715415 7.56043382352941 12.2915571200771 5.30692217958559e-19 2.72351246256332e-15 32.7711487101498
"LYVE1" "LYVE1" 2.91519072639805 7.27015614444292 12.1891653056101 7.88599520295323e-19 3.23767419052448e-15 32.3872270491053
"CLEC4E" "CLEC4E" 2.05551691957239 7.14849032172555 12.0245299052622 1.49482833588429e-18 5.11430601317213e-15 31.7670754150165
"PROM2" "PROM2" -2.81126770693921 8.88401191599191 -11.8369383593626 3.11005800797328e-18 9.12046725538221e-15 31.056225504797
"ABCC3" "ABCC3" -2.37195261763301 10.1727218142021 -11.4689448335985 1.32473805303666e-17 3.39927784409206e-14 29.6489722273426
"KLRD1" "KLRD1" 1.69171912621803 6.31724927198661 11.1327545059951 5.04590319619789e-17 1.15091445346167e-13 28.3489940750437
"ALDH18A1" "ALDH18A1" -1.05807220002499 9.44651713514856 -11.0852258762624 6.10219867585657e-17 1.25265934417984e-13 28.1641409138458
"XDH" "XDH" -3.11203839525692 7.14509235294118 -11.02116923763 7.88690866889688e-17 1.47184055595559e-13 27.9145952402358
"ENC1" "ENC1" -1.20459961400234 9.99535546539141 -10.9699226429424 9.68684967010609e-17 1.65709708356615e-13 27.7146176243693
"CA4" "CA4" 3.63099426768968 6.92686436793699 10.8840211439301 1.36804523334809e-16 2.16024865770535e-13 27.3787449426077
"GRK5" "GRK5" 2.04330853105378 9.77034414212549 10.8354661117998 1.66336857704476e-16 2.31082348194592e-13 27.188532804848
"IGSF10" "IGSF10" 2.18633521146245 7.99346639705882 10.8317375974026 1.68854015146087e-16 2.31082348194592e-13 27.1739157640975
"LIN7A" "LIN7A" 2.0190097944664 7.74124302941176 10.8153782300954 1.80359441144737e-16 2.31401162988698e-13 27.1097634441725
"PCAT19" "PCAT19" 1.83603655928854 8.06699813235294 10.7797558206496 2.08217131786824e-16 2.51428310665878e-13 26.9699708448983
"CLEC14A" "CLEC14A" 1.7457774229249 8.48690714705882 10.7162831588188 2.6903058516305e-16 3.00661540747482e-13 26.7205440697282
"MFNG" "MFNG" 1.19660610855772 8.20838722687659 10.7000088277861 2.87318563961953e-16 3.00661540747482e-13 26.6565212951902
"LILRA1" "LILRA1" 0.843829818808411 5.79832877931161 10.6915613854017 2.97299259116665e-16 3.00661540747482e-13 26.6232780929344
"ADGRE1" "ADGRE1" 1.39624265188733 6.44270817031526 10.6589161803492 3.39261287380819e-16 3.00661540747482e-13 26.4947378622003
"TRIM2" "TRIM2" -1.84890518737771 10.0716692970724 -10.6578570958604 3.40718204259173e-16 3.00661540747482e-13 26.4905658253209
"RASIP1" "RASIP1" 1.85773978028744 7.99498598518512 10.6566984935684 3.42319232595784e-16 3.00661540747482e-13 26.4860016228859
"GYPC" "GYPC" 1.16211607529544 8.84211225788425 10.6501484631839 3.51513882401577e-16 3.00661540747482e-13 26.4601957276523
"CLEC3B" "CLEC3B" 2.62458118059218 9.44188069248288 10.6048417537519 4.22295451930844e-16 3.46755241489454e-13 26.2815715407449
"ITM2A" "ITM2A" 1.60815473628175 9.82266589507145 10.4883080837627 6.77562386551834e-16 5.34961564274463e-13 25.8211462273564
"RTKN2" "RTKN2" 3.23284420948616 5.82418929411765 10.4584906516647 7.64856052489443e-16 5.81517223907529e-13 25.7031127604918
"ACVRL1" "ACVRL1" 1.91393035573122 9.04376258823529 10.4460974126165 8.04388341479268e-16 5.89731566924515e-13 25.6540270529902
"AGER" "AGER" 4.0799852593535 9.22277915083303 10.3453103995991 1.21251511608728e-15 8.4507307996554e-13 25.2542685550348
"NCKAP5" "NCKAP5" 2.71134642490118 6.06862966176471 10.3408020822223 1.23500547539781e-15 8.4507307996554e-13 25.2363632978644
"SH2D1B" "SH2D1B" 1.6556077370144 5.33066109524057 10.3054900400604 1.42631413044529e-15 9.44496015154224e-13 25.0960487341701
"CCBE1" "CCBE1" 2.26534146047431 7.97386572058824 10.288953963773 1.52588506978818e-15 9.78855272269117e-13 25.0302997203282
